state_abb,year,gdp_m
PA,1997,357525.6
PA,1998,373515.0
PA,1999,391136.1
PA,2000,409330.2
PA,2001,428463.7
PA,2002,440887.5
PA,2003,460478.3
PA,2004,486384.5
PA,2005,510763.9
PA,2006,528771.2
PA,2007,563238.6
PA,2008,586886.6
PA,2009,581219.9
PA,2010,604629.6
PA,2011,623767.9
PA,2012,646434.3
PA,2013,670767.4
PA,2014,695546.6
PA,2015,716534.3
PA,2016,733165.9
PA,2017,754318.0
PA,2018,780620.7
PA,2019,802233.1
PA,2020,778297.2
PA,2021,844875.5
PA,2022,916861.7
PA,2023,966444.0
PA,2024,1007873.9
RI,1997,28963.2
RI,1998,30835.3
RI,1999,32340.0
RI,2000,34608.5
RI,2001,35940.1
RI,2002,37891.2
RI,2003,39787.1
RI,2004,42578.2
RI,2005,44413.3
RI,2006,47165.3
RI,2007,47490.1
RI,2008,47138.9
RI,2009,47647.2
RI,2010,49409.1
RI,2011,50123.7
RI,2012,51527.5
RI,2013,52994.2
RI,2014,54612.5
RI,2015,56604.0
RI,2016,57714.6
RI,2017,58771.6
RI,2018,60064.9
RI,2019,62814.7
RI,2020,61980.9
RI,2021,67060.0
RI,2022,71978.2
RI,2023,76313.5
RI,2024,80381.1
SC,1997,97453.8
SC,1998,103688.6
SC,1999,110312.9
SC,2000,115332.7
SC,2001,119355.2
SC,2002,124765.2
SC,2003,131509.1
SC,2004,136679.9
SC,2005,145195.8
SC,2006,153453.4
SC,2007,162476.3
SC,2008,164471.2
SC,2009,162380.4
SC,2010,166767.4
SC,2011,172844.7
SC,2012,178503.9
SC,2013,186268.3
SC,2014,195744.4
SC,2015,207510.0
SC,2016,217555.5
SC,2017,224937.6
SC,2018,236561.7
SC,2019,249575.7
SC,2020,248952.7
SC,2021,272464.9
SC,2022,305070.0
SC,2023,332946.8
SC,2024,357074.4
SD,1997,19062.3
SD,1998,20257.8
SD,1999,21181.8
SD,2000,22866.7
SD,2001,23626.9
SD,2002,26343.5
SD,2003,27305.0
SD,2004,29380.9
SD,2005,31104.3
SD,2006,32559.3
SD,2007,35282.6
SD,2008,36939.3
SD,2009,36732.1
SD,2010,38208.2
SD,2011,42082.7
SD,2012,44127.3
SD,2013,45498.6
SD,2014,47159.9
SD,2015,48678.9
SD,2016,49842.6
SD,2017,51615.1
SD,2018,53349.5
SD,2019,55175.8
SD,2020,56847.3
SD,2021,63337.7
SD,2022,69425.6
SD,2023,74458.8
SD,2024,76795.8
TN,1997,154861.9
TN,1998,167783.0
TN,1999,176467.2
TN,2000,182209.7
TN,2001,185917.2
TN,2002,195386.1
TN,2003,204665.9
TN,2004,219862.4
TN,2005,231339.0
TN,2006,243104.4
TN,2007,248261.6
TN,2008,255546.7
TN,2009,252940.7
TN,2010,258657.6
TN,2011,270055.0
TN,2012,285897.5
TN,2013,296756.3
TN,2014,307448.5
TN,2015,326382.5
TN,2016,339350.2
TN,2017,355417.5
TN,2018,369713.2
TN,2019,385833.0
TN,2020,391588.6
TN,2021,443419.7
TN,2022,490587.0
TN,2023,531246.8
TN,2024,561201.2
TX,1997,610659.8
TX,1998,648243.1
TX,1999,683347.4
TX,2000,742161.5
TX,2001,780206.2
TX,2002,796357.3
TX,2003,840860.8
TX,2004,921230.7
TX,2005,1003745.9
TX,2006,1108236.5
TX,2007,1198565.0
TX,2008,1253142.0
TX,2009,1179168.1
TX,2010,1255660.8
TX,2011,1351776.9
TX,2012,1429588.0
TX,2013,1526781.9
TX,2014,1592177.6
TX,2015,1585985.9
TX,2016,1582981.5
TX,2017,1667313.0
TX,2018,1808026.9
TX,2019,1864872.3
TX,2020,1810670.2
TX,2021,2117013.7
TX,2022,2476903.2
TX,2023,2637237.6
TX,2024,2769766.2
UT,1997,57812.0
UT,1998,62070.1
UT,1999,65773.4
UT,2000,70056.3
UT,2001,73042.5
UT,2002,76289.4
UT,2003,79504.7
UT,2004,86766.7
UT,2005,95512.0
UT,2006,106787.1
UT,2007,115180.7
UT,2008,116949.2
UT,2009,113834.8
UT,2010,118296.3
UT,2011,125137.8
UT,2012,129431.4
UT,2013,135344.3
UT,2014,142627.7
UT,2015,149762.1
UT,2016,159330.6
UT,2017,172075.0
UT,2018,186805.7
UT,2019,201312.2
UT,2020,206240.5
UT,2021,233320.9
UT,2022,261548.5
UT,2023,283230.8
UT,2024,299471.3
VT,1997,15443.4
VT,1998,16197.7
VT,1999,17314.8
VT,2000,18492.9
VT,2001,19467.1
VT,2002,20383.5
VT,2003,21398.5
VT,2004,22986.3
VT,2005,23763.0
VT,2006,24507.1
VT,2007,25025.2
VT,2008,26140.4
VT,2009,26220.0
VT,2010,27478.3
VT,2011,28558.5
VT,2012,29325.6
VT,2013,29477.6
VT,2014,30359.4
VT,2015,31152.4
VT,2016,31840.2
VT,2017,32589.2
