fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
4714000,chattanooga,TN,2.0,459203412.5915392,500.8,353065443.0,43982069.0,,62155900.591539204
471510,surprise,AZ,5.0,60588388.27110218,17.8,54919800.0,5517257.0,151331.27110217916,
4715160,clarksville,TN,1.0,43552544.09458619,50.0,0.0,,,43552544.09458619
4716420,collierville,TN,1.0,18408014.41305887,12.0,2382500.0,,,16025514.41305887
473000,tempe,AZ,4.0,121840129.75738807,0.0,121785378.0,,54751.75738807664,
4733280,hendersonville,TN,1.0,13832841.604882289,0.0,0.0,,,13832841.604882289
4737640,jackson,TN,2.0,32226175.16138086,50.8,6579905.0,,,25646270.16138086
4740000,knoxville,TN,3.0,43109858.1473355,130.2,0.0,,,43109858.1473355
4748000,memphis,TN,3.0,1277074521.598728,450.0,1147742327.0,,,129332194.59872794
4751560,murfreesboro,TN,1.0,28065571.184676513,66.0,0.0,,,28065571.184676513
4752006,nashville-davidson county,TN,8.0,1324656714.833536,673.0,1104821284.0,,,219835430.83353597
477000,tucson,AZ,6.0,451435107.0,127.8,442778400.0,,8656707.0,
4801000,abilene,TX,,33455895.774149742,,,,33455895.774149742,
4801924,allen,TX,1.0,11644832.8040225,0.0,0.0,,11644832.8040225,
4803000,amarillo,TX,2.0,508669.0,0.0,0.0,,508669.0,
4804000,arlington,TX,3.0,10040562.611656949,0.0,9670785.0,,369777.6116569493,
4805000,austin,TX,12.0,1678500314.4524877,457.78,737704815.0,351477953.0,589317546.4524877,
4806128,baytown,TX,5.0,46470688.38761211,36.4,35405523.0,,11065165.387612112,
4807000,beaumont,TX,4.0,3455925.0,64.914,0.0,,3455925.0,
4810768,brownsville,TX,5.0,225058066.0,47.7,102210078.0,,122847988.0,
4810912,bryan,TX,2.0,17194418.937603198,16.12,0.0,,17194418.937603198,
4813024,carrollton,TX,1.0,1361490.9333886195,0.0,0.0,,1361490.9333886195,
4815976,college station,TX,3.0,16045838.288247056,27.016,0.0,,16045838.288247056,
4817000,corpus christi,TX,8.0,27473173.0,105.4,0.0,,27473173.0,
4819000,dallas,TX,8.0,960530130.8253839,810.5999999999999,562356922.0,,398173208.82538384,
4819972,denton,TX,1.0,25957060.12507126,44.272,0.0,,25957060.12507126,
4820092,desoto,TX,2.0,803674.1298770721,0.0,0.0,,803674.1298770721,
4822660,edinburg,TX,3.0,168925577.8097806,11.8,53170190.0,,115755387.80978061,
4824000,el paso,TX,3.0,54118755.0,178.86,0.0,,54118755.0,
4824768,euless,TX,1.0,62139.405771371385,0.0,0.0,,62139.405771371385,
4826232,flower mound,TX,2.0,11232278.016549395,20.5,0.0,,11232278.016549395,
4827000,fort worth,TX,5.0,270543199.98257166,332.0,269191787.0,,1351412.9825716792,
4827684,frisco,TX,3.0,18368408.433889005,10.6,0.0,,18368408.433889005,
4828068,galveston,TX,6.0,142895436.0,39.44,47759771.0,,95135665.0,
4829000,garland,TX,4.0,2111919.7571843956,49.22,0.0,,2111919.7571843956,
4830464,grand prairie,TX,1.0,2693413.5433784537,0.0,0.0,,2693413.5433784537,
4835000,houston,TX,105.0,3924231971.877817,1223.79,3107750037.0,,816481934.8778174,
4837000,irving,TX,2.0,2487902.12719391,0.0,0.0,,2487902.12719391,
4839148,killeen,TX,3.0,64831948.43000048,48.0,27562500.0,,37269448.43000048,
4841464,laredo,TX,9.0,162405270.0,74.604,161249260.0,947239.0,208771.0,
4841980,league city,TX,3.0,112790105.77970992,24.32,0.0,,112790105.77970992,
4842508,lewisville,TX,2.0,10888376.966008622,40.0,0.0,,10888376.966008622,
4843888,longview,TX,1.0,34963136.0,0.0,0.0,,34963136.0,
4845000,lubbock,TX,2.0,29611115.0,10.0,0.0,,29611115.0,
4845384,mcallen,TX,4.0,161336995.42558992,36.8,0.0,,161336995.42558992,
4845744,mckinney,TX,1.0,29534678.58575321,0.0,0.0,,29534678.58575321,
4847892,mesquite,TX,2.0,1823874.5139915312,0.0,0.0,,1823874.5139915312,
4848072,midland,TX,,1779035.0,,,,1779035.0,
4848804,missouri city,TX,14.0,76766514.40964058,21.7,70853449.0,,5913065.409640573,
4853388,odessa,TX,,116269545.0,,,,116269545.0,
485540,yuma,AZ,2.0,108054424.0,6.6,99913653.0,8115890.0,24881.0,
4856000,pasadena,TX,4.0,122309764.32492983,48.0,110373201.0,,11936563.324929835,
4856348,pearland,TX,9.0,249129443.2202901,28.3,142132035.0,,106997408.2202901,
4857200,pharr,TX,,61434918.76462945,,,,61434918.76462945,
4858016,plano,TX,1.0,31623443.348195765,0.0,0.0,,31623443.348195765,
4861796,richardson,TX,3.0,1060919.8901124243,9.5,0.0,,1060919.8901124243,
